trainerID,place,pokename,pokelevel,type1,type2,hp,maxhp,attack,defense,spatk,spdef,speed
51,1,Starmie,37,Water,Psychic,104,104,73,81,92,81,103
51,2,Nidoqueen,39,Poison,Ground,133,133,90,86,77,85,78
52,0,Pidgeot,25,Normal,Flying,85,85,54,51,49,49,64
52,1,Electabuzz,27,Electric,None,81,81,59,45,66,60,71
53,0,Flareon,35,Fire,None,103,103,108,59,84,94,63
53,1,Tangela,35,Grass,None,103,103,56,98,87,45,59
53,2,Tauros,35,Normal,None,110,110,87,84,45,66,94
54,0,Manectric,43,Electric,None,128,128,84,72,110,72,110
54,1,Muk,43,Poison,None,158,158,110,84,76,106,63
55,0,Gloom,35,Grass,Poison,99,99,63,66,77,70,45
55,1,Azumarill,35,Water,Fairy,127,127,52,73,59,73,52
56,0,Zangoose,27,Normal,None,86,86,76,47,47,47,63
57,0,Wingull,18,Water,Flying,48,48,22,22,31,22,42
57,1,Numel,18,Fire,Ground,56,56,33,25,34,27,24
57,2,Roselia,18,Grass,Poison,52,52,33,27,47,40,34
58,0,Wingull,26,Water,Flying,66,66,29,29,42,29,58
58,1,Numel,26,Fire,Ground,76,76,45,35,48,37,32
58,2,Roselia,26,Grass,Poison,71,71,45,37,66,55,48
59,0,Pelipper,29,Water,Flying,84,84,44,73,64,56,53
59,1,Numel,29,Fire,Ground,84,84,50,38,53,41,35
59,2,Roselia,29,Grass,Poison,78,78,50,41,73,61,53
60,0,Pelipper,32,Water,Flying,91,91,48,80,70,61,58
60,1,Numel,32,Fire,Ground,91,91,54,42,58,45,38
60,2,Roselia,32,Grass,Poison,85,85,54,45,80,67,58
61,0,Pelipper,35,Water,Flying,99,99,52,87,77,66,63
61,1,Camerupt,35,Fire,Ground,106,106,87,66,91,70,45
61,2,Roselia,35,Grass,Poison,92,92,59,49,87,73,63
62,0,Mawile,43,Steel,Fairy,111,111,93,93,67,67,63
62,1,Sableye,43,Dark,Ghost,111,111,84,84,76,76,63
63,0,Swellow,29,Normal,Flying,84,84,64,50,44,44,87
63,1,Trapinch,29,Ground,None,75,75,73,41,41,41,21
63,2,Wailmer,29,Water,None,124,124,56,35,56,35,50
63,3,Magneton,29,Electric,Steel,78,78,50,70,85,56,56
63,4,Shiftry,29,Grass,Dark,101,101,73,50,67,50,61
64,0,Cacturne,44,Grass,Dark,131,131,122,73,122,73,69
65,0,Lairon,45,Steel,Rock,125,125,102,147,66,66,57
65,1,Manectric,45,Electric,None,134,134,88,75,115,75,115
66,0,Linoone,27,Normal,None,88,88,52,47,41,47,68
67,0,Roselia,44,Grass,Poison,113,113,73,60,108,91,78
68,0,Milotic,31,Water,None,111,111,53,65,78,93,66
69,0,Zangoose,27,Normal,None,86,86,76,47,47,47,63
70,0,Sandslash,43,Ground,None,132,132,106,115,59,67,76
70,1,Ninetales,43,Fire,None,131,131,85,84,90,106,106
71,0,Mawile,46,Steel,Fairy,118,118,99,99,72,72,67
71,1,Starmie,46,Water,Psychic,127,127,90,99,113,99,127
72,0,Linoone,27,Normal,None,88,88,52,47,41,47,68
73,0,Delcatty,27,Normal,None,84,84,49,49,44,44,52
74,0,Nosepass,42,Rock,None,92,92,57,133,57,95,45
74,1,Medicham,42,Fighting,Psychic,117,117,70,83,70,83,87
74,2,Ludicolo,42,Water,Grass,134,134,78,78,95,104,78
75,0,Kecleon,42,Normal,None,117,117,95,78,70,120,53
75,1,Rhyhorn,42,Ground,Rock,134,134,91,99,45,45,41
75,2,Tentacruel,42,Water,Poison,134,134,78,74,87,120,104
76,0,Linoone,27,Normal,None,88,88,52,47,41,47,68
77,0,Delcatty,27,Normal,None,84,84,49,49,44,44,52
78,0,Shiftry,34,Grass,Dark,117,117,85,58,78,58,71
78,1,Graveler,34,Rock,Ground,93,93,81,95,47,47,41
78,2,Loudred,34,Normal,None,113,113,65,46,65,46,49
79,0,Dodrio,42,Normal,Flying,117,117,112,78,70,70,104
79,1,Lairon,42,Steel,Rock,117,117,95,137,62,62,53
79,2,Kadabra,42,Psychic,None,100,100,49,45,120,78,108
80,0,Claydol,44,Ground,Psychic,122,122,82,113,82,126,86
81,0,Sableye,44,Dark,Ghost,113,113,86,86,78,78,64
81,1,Medicham,44,Fighting,Psychic,122,122,73,86,73,86,91
81,2,Sharpedo,44,Water,Dark,131,131,126,56,104,56,104
82,0,Swellow,42,Normal,Flying,117,117,91,70,62,62,125
82,1,Kadabra,42,Psychic,None,100,100,49,45,120,78,108
82,2,Manectric,42,Electric,None,125,125,83,70,108,70,108
82,3,Shiftry,42,Grass,Dark,142,142,104,70,95,70,87
83,0,Graveler,34,Rock,Ground,93,93,81,95,47,47,41
83,1,Magcargo,34,Fire,Rock,90,90,51,98,71,71,37
83,2,Ludicolo,34,Water,Grass,110,110,64,64,78,85,64
84,0,Mawile,31,Steel,Fairy,83,83,68,68,50,50,47
84,1,Roselia,31,Grass,Poison,83,83,53,44,78,65,56
84,2,Pelipper,31,Water,Flying,89,89,47,78,68,59,56
85,0,Electrike,18,Electric,None,48,48,27,25,34,25,34
85,1,Wailmer,18,Water,None,81,81,36,24,36,24,33
85,2,Makuhita,18,Fighting,None,60,60,33,22,18,22,20
86,0,Electrike,26,Electric,None,66,66,37,35,48,35,48
86,1,Wailmer,26,Water,None,112,112,50,32,50,32,45
86,2,Makuhita,26,Fighting,None,82,82,45,29,24,29,27
87,0,Manectric,29,Electric,None,90,90,58,50,76,50,76
87,1,Wailmer,29,Water,None,124,124,56,35,56,35,50
87,2,Makuhita,29,Fighting,None,91,91,50,32,27,32,29
88,0,Manectric,32,Electric,None,98,98,64,54,83,54,83
88,1,Wailmer,32,Water,None,136,136,61,38,61,38,54
88,2,Makuhita,32,Fighting,None,99,99,54,35,29,35,32
89,0,Manectric,35,Electric,None,106,106,70,59,91,59,91
89,1,Wailmer,35,Water,None,148,148,66,42,66,42,59
89,2,Hariyama,35,Fighting,None,158,158,101,59,45,59,52
90,0,Kecleon,24,Normal,None,71,71,56,47,42,71,32
91,0,Magneton,43,Electric,Steel,111,111,72,102,123,80,80
91,1,Muk,43,Poison,None,158,158,110,84,76,106,63
92,0,Gloom,34,Grass,Poison,97,97,61,64,75,68,44
92,1,Azumarill,34,Water,Fairy,124,124,51,71,58,71,51
93,0,Wigglytuff,26,Normal,Fairy,118,118,50,37,58,40,37
94,0,Manectric,32,Electric,None,98,98,64,54,83,54,83
94,1,Linoone,32,Normal,None,103,103,61,55,48,55,80
95,0,Vigoroth,26,Normal,None,86,86,55,55,42,42,61
96,0,Swellow,28,Normal,Flying,81,81,62,48,43,43,85
96,1,Trapinch,28,Ground,None,73,73,71,40,40,40,20
96,2,Wailmer,28,Water,None,120,120,54,34,54,34,48
96,3,Magneton,28,Electric,Steel,76,76,48,68,82,54,54
96,4,Shiftry,28,Grass,Dark,98,98,71,48,65,48,59
97,0,Wingull,17,Water,Flying,46,46,21,21,29,21,40
97,1,Numel,17,Fire,Ground,53,53,31,24,33,26,23
97,2,Roselia,17,Grass,Poison,50,50,31,26,45,38,33
98,0,Wingull,26,Water,Flying,66,66,29,29,42,29,58
98,1,Numel,26,Fire,Ground,76,76,45,35,48,37,32
98,2,Roselia,26,Grass,Poison,71,71,45,37,66,55,48
99,0,Pelipper,29,Water,Flying,84,84,44,73,64,56,53
99,1,Numel,29,Fire,Ground,84,84,50,38,53,41,35
99,2,Roselia,29,Grass,Poison,78,78,50,41,73,61,53
100,0,Pelipper,32,Water,Flying,91,91,48,80,70,61,58
100,1,Numel,32,Fire,Ground,91,91,54,42,58,45,38
100,2,Roselia,32,Grass,Poison,85,85,54,45,80,67,58
101,0,Pelipper,34,Water,Flying,97,97,51,85,75,64,61
101,1,Camerupt,34,Fire,Ground,103,103,85,64,88,68,44
101,2,Roselia,34,Grass,Poison,90,90,58,47,85,71,61
102,0,Manectric,24,Electric,None,76,76,49,42,64,42,64
102,1,Swellow,24,Normal,Flying,71,71,54,42,37,37,73
102,2,Manectric,24,Electric,None,76,76,49,42,64,42,64
103,0,Skarmory,43,Steel,Flying,124,124,89,140,54,80,80
103,1,Sableye,43,Dark,Ghost,111,111,84,84,76,76,63
104,0,Loudred,29,Normal,None,98,98,56,40,56,40,43
104,1,Vigoroth,29,Normal,None,95,95,61,61,47,47,67
105,0,Loudred,35,Normal,None,116,116,67,47,67,47,51
105,1,Vigoroth,35,Normal,None,113,113,73,73,56,56,80
106,0,Spinda,37,Normal,None,104,104,62,62,62,62,62
106,1,Loudred,37,Normal,None,122,122,70,50,70,50,53
106,2,Vigoroth,37,Normal,None,119,119,77,77,59,59,84
107,0,Spinda,39,Normal,None,109,109,65,65,65,65,65
107,1,Loudred,39,Normal,None,128,128,74,52,74,52,56
107,2,Vigoroth,39,Normal,None,125,125,81,81,61,61,89
108,0,Spinda,41,Normal,None,114,114,68,68,68,68,68
108,1,Exploud,41,Normal,None,151,151,94,71,94,79,75
108,2,Slaking,41,Normal,None,188,188,150,101,97,73,101
109,0,Pelipper,33,Water,Flying,94,94,49,82,72,63,59
109,1,Camerupt,33,Fire,Ground,101,101,82,63,86,66,43
110,0,Claydol,43,Ground,Psychic,120,120,80,110,80,123,84
110,1,Lanturn,43,Water,Electric,175,175,70,70,85,85,78
111,0,Cacturne,43,Grass,Dark,128,128,119,72,119,72,67
111,1,Pelipper,43,Water,Flying,120,120,63,106,93,80,76
112,0,Medicham,43,Fighting,Psychic,120,120,72,84,72,84,89
112,1,Claydol,43,Ground,Psychic,120,120,80,110,80,123,84
113,0,Slakoth,26,Normal,None,76,76,45,45,32,32,29
114,0,Kecleon,23,Normal,None,68,68,54,45,40,68,31
115,0,Sableye,43,Dark,Ghost,111,111,84,84,76,76,63
115,1,Absol,43,Dark,None,124,124,132,72,84,72,84
116,0,Roselia,45,Grass,Poison,116,116,75,61,111,93,79
117,0,Absol,27,Dark,None,81,81,84,47,55,47,55
118,0,Sableye,30,Dark,Ghost,80,80,60,60,54,54,45
119,0,Zangoose,26,Normal,None,83,83,74,45,45,45,61
120,0,Kecleon,33,Normal,None,94,94,76,63,56,96,43
120,1,Loudred,33,Normal,None,110,110,63,45,63,45,48
121,0,Sandslash,42,Ground,None,130,130,104,112,57,66,74
121,1,Ninetales,42,Fire,None,128,128,83,83,88,104,104
121,2,Tropius,42,Grass,Flying,150,150,77,89,80,93,62
122,0,Gardevoir,43,Psychic,Fairy,126,126,76,76,127,119,89
122,1,Slaking,43,Normal,None,197,197,158,106,102,76,106
123,0,Lairon,45,Steel,Rock,125,125,102,147,66,66,57
123,1,Manectric,45,Electric,None,134,134,88,75,115,75,115
124,0,Manectric,30,Electric,None,92,92,60,51,78,51,78
125,0,Mawile,46,Steel,Fairy,118,118,99,99,72,72,67
125,1,Starmie,46,Water,Psychic,127,127,90,99,113,99,127
126,0,Manectric,29,Electric,None,90,90,58,50,76,50,76
126,1,Shiftry,29,Grass,Dark,101,101,73,50,67,50,61
127,0,Manectric,34,Electric,None,103,103,68,58,88,58,88
128,0,Delcatty,26,Normal,None,81,81,48,48,42,42,50
129,0,Torkoal,42,Fire,None,125,125,91,137,91,78,36
129,1,Medicham,42,Fighting,Psychic,117,117,70,83,70,83,87
129,2,Ludicolo,42,Water,Grass,134,134,78,78,95,104,78
130,0,Lunatone,43,Rock,Psychic,128,128,67,76,102,93,80
130,1,Solrock,43,Rock,Psychic,128,128,102,93,67,76,80
131,0,Kecleon,42,Normal,None,117,117,95,78,70,120,53
131,1,Graveler,42,Rock,Ground,113,113,99,116,57,57,49
131,2,Wailord,42,Water,None,209,209,95,57,95,57,70
132,0,Spinda,26,Normal,None,76,76,45,45,45,45,45
133,0,Slaking,43,Normal,None,197,197,158,106,102,76,106
133,1,Dusclops,43,Ghost,None,102,102,80,132,72,132,41
134,0,Swellow,26,Normal,Flying,76,76,58,45,40,40,79
135,0,Shiftry,34,Grass,Dark,117,117,85,58,78,58,71
135,1,Nosepass,34,Rock,None,76,76,47,109,47,78,37
136,0,Swellow,42,Normal,Flying,117,117,91,70,62,62,125
136,1,Mawile,42,Steel,Fairy,109,109,91,91,66,66,62
136,2,Kadabra,42,Psychic,None,100,100,49,45,120,78,108
137,0,Claydol,45,Ground,Psychic,125,125,84,115,84,129,88
138,0,Sableye,44,Dark,Ghost,113,113,86,86,78,78,64
138,1,Medicham,44,Fighting,Psychic,122,122,73,86,73,86,91
138,2,Sharpedo,44,Water,Dark,131,131,126,56,104,56,104
139,0,Dodrio,42,Normal,Flying,117,117,112,78,70,70,104
139,1,Kadabra,42,Psychic,None,100,100,49,45,120,78,108
139,2,Electrode,42,Electric,None,117,117,62,78,87,87,137
139,3,Shiftry,42,Grass,Dark,142,142,104,70,95,70,87
140,0,Graveler,33,Rock,Ground,91,91,79,92,46,46,39
140,1,Ludicolo,33,Water,Grass,107,107,63,63,76,82,63
141,0,Mawile,29,Steel,Fairy,78,78,64,64,47,47,44
141,1,Roselia,29,Grass,Poison,78,78,50,41,73,61,53
141,2,Pelipper,29,Water,Flying,84,84,44,73,64,56,53
142,0,Electrike,17,Electric,None,46,46,26,24,33,24,33
142,1,Wailmer,17,Water,None,77,77,34,23,34,23,31
142,2,Makuhita,17,Fighting,None,57,57,31,21,17,21,19
143,0,Electrike,26,Electric,None,66,66,37,35,48,35,48
143,1,Wailmer,26,Water,None,112,112,50,32,50,32,45
143,2,Makuhita,26,Fighting,None,82,82,45,29,24,29,27
144,0,Manectric,29,Electric,None,90,90,58,50,76,50,76
144,1,Wailmer,29,Water,None,124,124,56,35,56,35,50
144,2,Makuhita,29,Fighting,None,91,91,50,32,27,32,29
145,0,Manectric,32,Electric,None,98,98,64,54,83,54,83
145,1,Wailmer,32,Water,None,136,136,61,38,61,38,54
145,2,Makuhita,32,Fighting,None,99,99,54,35,29,35,32
146,0,Manectric,35,Electric,None,106,106,70,59,91,59,91
146,1,Wailmer,35,Water,None,148,148,66,42,66,42,59
146,2,Hariyama,35,Fighting,None,158,158,101,59,45,59,52
147,0,Smeargle,60,Normal,None,157,157,50,68,50,80,116
148,0,Smeargle,30,Normal,None,83,83,27,36,27,42,60
149,0,Wailord,57,Water,None,281,281,128,76,128,76,93
149,1,Vileplume,57,Grass,Poison,173,173,116,122,150,128,82
150,0,Armaldo,47,Rock,Bug,144,144,139,115,87,97,64
150,1,Cradily,47,Rock,Grass,154,154,98,113,98,122,62
151,0,Armaldo,56,Rock,Bug,170,170,165,137,103,114,75
151,1,Cradily,56,Rock,Grass,182,182,115,133,115,145,73
152,0,Carvanha,21,Water,Dark,57,57,50,20,39,20,39
152,1,Numel,21,Fire,Ground,63,63,37,29,39,31,27
153,0,Sandslash,46,Ground,None,141,141,113,122,62,72,81
153,1,Ninetales,46,Fire,None,139,139,91,90,96,113,113
154,0,Smeargle,60,Normal,None,157,157,50,68,50,80,116
155,0,Smeargle,30,Normal,None,83,83,27,36,27,42,60
156,0,Wailord,57,Water,None,281,281,128,76,128,76,93
156,1,Vileplume,57,Grass,Poison,173,173,116,122,150,128,82
157,0,Armaldo,47,Rock,Bug,144,144,139,115,87,97,64
157,1,Cradily,47,Rock,Grass,154,154,98,113,98,122,62
158,0,Armaldo,56,Rock,Bug,170,170,165,137,103,114,75
158,1,Cradily,56,Rock,Grass,182,182,115,133,115,145,73
159,0,Carvanha,21,Water,Dark,57,57,50,20,39,20,39
159,1,Numel,21,Fire,Ground,63,63,37,29,39,31,27
160,0,Sandslash,46,Ground,None,141,141,113,122,62,72,81
160,1,Ninetales,46,Fire,None,139,139,91,90,96,113,113
161,0,Weepinbell,24,Grass,Poison,73,73,56,37,54,35,40
161,1,Gloom,24,Grass,Poison,71,71,44,47,54,49,32
161,2,Ivysaur,24,Grass,Poison,71,71,43,43,52,52,42
162,0,Nidorino,39,Poison,None,110,110,75,63,61,61,69
162,1,Nidoking,39,Poison,Ground,126,126,98,79,85,77,85
163,0,Sandslash,39,Ground,None,121,121,97,104,54,61,69
163,1,Dugtrio,39,Ground,None,90,90,81,58,58,73,112
164,0,Rhyhorn,43,Ground,Rock,137,137,93,102,46,46,41
165,0,Persian,44,Normal,None,127,127,82,73,78,78,122
165,1,Ninetales,44,Fire,None,134,134,87,86,92,108,108
166,0,Ivysaur,42,Grass,Poison,117,117,72,73,87,87,70
166,1,Wartortle,42,Water,None,116,116,73,87,74,87,68
166,2,Charmeleon,42,Fire,None,115,115,73,68,87,74,87
166,3,Charizard,42,Fire,Flying,132,132,90,85,111,91,104
167,0,Exeggutor,43,Grass,Psychic,150,150,102,93,127,76,67
167,1,Cloyster,43,Water,Ice,111,111,102,175,93,59,80
167,2,Arcanine,43,Fire,None,145,145,115,89,106,89,102
168,0,Parasect,43,Bug,Grass,120,120,102,89,72,89,46
168,1,Dewgong,43,Water,Ice,145,145,80,89,80,102,80
168,2,Chansey,43,Normal,None,283,283,24,24,50,110,63
169,0,Kingler,43,Water,None,115,115,132,119,63,63,84
169,1,Tentacruel,43,Water,Poison,137,137,80,76,89,123,106
169,2,Blastoise,43,Water,None,136,136,91,106,93,110,87
170,0,Bellsprout,43,Grass,Poison,111,111,84,50,80,46,54
170,1,Weepinbell,43,Grass,Poison,124,124,97,63,93,59,67
170,2,Victreebel,43,Grass,Poison,137,137,110,76,106,80,80
171,0,Ivysaur,24,Grass,Poison,71,71,43,43,52,52,42
171,1,Charmeleon,24,Fire,None,70,70,44,41,52,44,52
171,2,Wartortle,24,Water,None,70,70,43,52,44,52,41
172,0,Charmeleon,27,Fire,None,78,78,49,46,57,49,57
173,0,Rapidash,36,Fire,None,105,105,89,68,75,75,93
174,0,Rapidash,39,Fire,None,113,113,97,73,81,81,100
175,0,Rapidash,43,Fire,None,124,124,106,80,89,89,110
176,0,Magneton,33,Electric,Steel,87,87,56,79,96,63,63
176,1,Quagsire,31,Water,Ground,111,111,68,68,56,56,37
176,2,Exeggcute,31,Grass,Psychic,89,89,40,65,53,44,40
177,0,Sandslash,35,Ground,None,110,110,87,94,49,56,63
178,0,Horsea,33,Water,None,74,74,43,63,63,33,56
178,1,Horsea,33,Water,None,74,74,43,63,63,33,56
178,2,Horsea,33,Water,None,74,74,43,63,63,33,56
179,0,Electrode,35,Electric,None,99,99,52,66,73,73,115
179,1,Starmie,35,Water,Psychic,99,99,70,77,87,77,98
179,2,Ninetales,35,Fire,None,108,108,70,70,74,87,87
180,0,Horsea,34,Water,None,76,76,44,64,64,34,58
180,1,Seadra,36,Water,None,98,98,64,86,86,50,79
181,0,Butterfree,25,Bug,Flying,74,74,36,39,59,54,49
181,1,Bellossom,25,Grass,None,81,81,54,61,59,64,39
182,0,Dragonair,37,Dragon,None,105,105,80,66,70,70,70
183,0,Poliwhirl,28,Water,None,84,84,51,51,43,43,65
184,0,Seadra,37,Water,None,101,101,66,88,88,51,81
185,0,Victreebel,32,Grass,Poison,104,104,83,58,80,61,61
185,1,Kingler,32,Water,None,88,88,99,90,48,48,64
185,2,Flareon,32,Fire,None,95,95,99,54,77,86,58
186,0,Victreebel,35,Grass,Poison,113,113,91,63,87,66,66
186,1,Kingler,35,Water,None,96,96,108,98,52,52,70
186,2,Flareon,35,Fire,None,103,103,108,59,84,94,63
187,0,Victreebel,39,Grass,Poison,125,125,100,69,97,73,73
187,1,Kingler,39,Water,None,105,105,120,108,58,58,77
187,2,Flareon,39,Fire,None,113,113,120,65,93,104,69
188,0,Eevee,26,Normal,None,73,73,42,40,37,48,42
188,1,Vaporeon,22,Water,None,97,97,41,39,61,54,41
188,2,Jolteon,22,Electric,None,68,68,41,39,61,54,70
188,3,Flareon,22,Fire,None,68,68,70,39,54,61,41
189,0,Goldeen,22,Water,None,59,59,42,39,28,34,40
189,1,Seaking,24,Water,None,81,81,57,44,44,52,46
190,0,Parasect,33,Bug,Grass,94,94,79,69,56,69,36
190,1,Golduck,35,Water,None,113,113,75,72,84,73,77
191,0,Staryu,24,Water,None,57,57,35,40,47,40,54
191,1,Starmie,26,Water,Psychic,76,76,53,58,66,58,74
192,0,Pikachu,36,Electric,None,84,84,57,46,53,53,82
192,1,Blastoise,32,Water,None,104,104,69,80,70,83,66
193,0,Shellder,26,Water,None,60,60,48,66,37,27,35
193,1,Cloyster,28,Water,Ice,76,76,68,115,62,40,54
194,0,Marill,27,Water,Fairy,84,84,25,41,25,41,36
194,1,Wartortle,24,Water,None,70,70,43,52,44,52,41
